153829607805000,3,261.28003,-4.8020625,85.452255,
153829626238000,3,261.30942,-4.8110023,85.746346,
153829644579000,3,261.33304,-4.830088,85.745865,
153831488664000,3,260.71857,-1.3082862,89.06614,
153831525926000,3,260.75247,-1.2153628,89.131096,
153831548326000,3,260.75122,-1.1416017,89.17222,
153831565996000,3,260.74243,-1.0797564,89.20706,
153831589281000,3,260.70734,-1.0282582,89.255516,
153831608690000,3,260.71152,-0.99101424,89.28632,
153831626054000,3,260.7412,-0.9367578,89.30549,
153831646227000,3,260.7548,-0.83574426,89.33012,
153831668504000,3,260.7563,-0.69774157,89.4196,
153831686113000,3,260.75217,-0.5637934,89.49822,
153831706102000,3,260.7337,-0.4217253,89.575966,
153831729326000,3,260.67938,-0.18966445,89.77245,
153831746294000,3,260.67938,-0.18966445,89.77245,
153831768449000,3,260.6793,-0.13580479,89.83745,
153831788835000,3,260.67163,-0.089267194,89.8998,
153831806169000,3,260.6579,-0.0698148,89.95739,
153831826219000,3,260.62646,-179.91783,89.93734,
153831848528000,3,260.6258,-179.93369,89.947105,
153831866106000,3,260.66028,-179.89719,89.861,
153831886125000,3,260.67908,-179.88747,89.797966,
153831908586000,3,260.69128,-179.89697,89.77038,
153831926134000,3,260.6945,-179.90907,89.78059,
153831949419000,3,260.67957,-179.90881,89.78458,
153831969225000,3,260.6602,-179.90271,89.75228,
153831986253000,3,260.68225,-179.90053,89.701515,
153832006212000,3,260.68542,-179.91498,89.65456,
153832028490000,3,260.68552,-179.94926,89.62585,
153832046312000,3,260.6844,-179.98221,89.61844,
153832066393000,3,260.66534,179.99304,89.60872,
153832088670000,3,260.64667,179.97498,89.57972,
153832106401000,3,260.67438,179.95921,89.53366,
153832129655000,3,260.67654,179.94337,89.468124,
153832149217000,3,260.68622,179.94418,89.40572,
153832166338000,3,260.67468,179.95476,89.33774,
153832186357000,3,260.67035,179.98456,89.25151,
153832209032000,3,260.68106,-179.9907,89.16639,
153832226396000,3,260.7007,-179.98439,89.12693,
153832246416000,3,260.70175,-179.98996,89.106804,
153832268816000,3,260.69116,-179.99155,89.07815,
153832286516000,3,260.6844,179.99728,89.0441,
153832309831000,3,260.6845,179.97888,89.02902,
153832329363000,3,260.68896,179.96375,89.02435,
153832346880000,3,260.68347,179.95941,89.009544,
153832366777000,3,260.70178,179.96884,88.95628,
153832389207000,3,260.70215,179.96817,88.89527,
153832406725000,3,260.68964,179.96887,88.88556,
153832426775000,3,260.68262,179.96724,88.91268,
153832449358000,3,260.66754,179.97128,88.921814,
153832466753000,3,260.67218,179.97328,88.90323,
153832490099000,3,260.67154,179.98772,88.87293,
153832509416000,3,260.68628,179.99623,88.86097,
153832526750000,3,260.69104,179.99788,88.85351,
153832546739000,3,260.6821,-179.99487,88.833595,
153832569017000,3,260.6778,-179.98216,88.81551,
153832586778000,3,260.67548,-179.97798,88.7905,
153832606767000,3,260.6732,-179.98161,88.75271,
153832629320000,3,260.67703,179.997,88.71447,
153832646867000,3,260.70325,179.95671,88.72472,
153832669176000,3,260.68777,179.90404,88.77911,
153832690447000,3,260.68402,179.8439,88.83453,
153832706895000,3,260.66187,179.80484,88.865326,
153832726946000,3,260.64224,179.74756,88.878586,
153832749254000,3,260.6198,179.68869,88.812035,
153832766924000,3,260.60986,179.64093,88.71258,
153832786943000,3,260.59467,179.5931,88.618095,
153832809282000,3,260.57764,179.54489,88.582985,
153832826982000,3,260.54465,179.52704,88.58974,
153832850298000,3,260.53534,179.52629,88.552765,
153832869859000,3,260.54803,179.52623,88.47661,
153832887041000,3,260.5544,179.52429,88.41102,
153832907060000,3,260.55276,179.5133,88.34613,
153832929704000,3,260.5421,179.48427,88.30086,
153832947099000,3,260.53882,179.45049,88.265144,
153832967149000,3,260.52155,179.39996,88.24812,
153832989458000,3,260.4958,179.3472,88.25517,
153833007158000,3,260.4676,179.3013,88.24273,
153833030443000,3,260.43295,179.27592,88.18748,
153833049883000,3,260.42392,179.26866,88.12875,
153833067247000,3,260.43417,179.26192,88.0753,
153833087267000,3,260.43256,179.24164,88.04018,
153833109636000,3,260.4118,179.22618,88.00529,
153833127275000,3,260.42255,179.21466,87.96638,
153833147264000,3,260.41464,179.19724,87.920364,
153833170000000,3,260.41574,179.17111,87.88015,
153833187303000,3,260.40356,179.14836,87.87311,
153833210619000,3,260.3763,179.12471,87.87884,
153833230089000,3,260.35037,179.10168,87.869934,
153833247392000,3,260.337,179.06912,87.82719,
153833267442000,3,260.31033,179.01324,87.813614,
153833289720000,3,260.29132,178.95184,87.95903,
153833307420000,3,260.27454,178.91655,88.1627,
153833327440000,3,260.2887,178.91052,88.4318,
153833349931000,3,260.29337,178.9327,88.61625,
153833367509000,3,260.29333,178.95612,88.64616,
153833390825000,3,260.3108,179.01273,88.586006,
153833410570000,3,260.37222,179.02922,88.53661,
153833427568000,3,260.3973,179.03107,88.51999,
153833447588000,3,260.41855,179.03285,88.48419,
153833469926000,3,260.46866,179.0444,88.330536,
153833487627000,3,260.46854,179.05717,88.14284,
153833507677000,3,260.52325,179.05118,87.955376,
153833530046000,3,260.60928,179.03639,87.88509,
153833547716000,3,260.59357,179.05705,87.996216,
153833569994000,3,260.70984,179.157,88.24564,
153833590501000,3,260.79745,179.27255,88.45197,
153833710252000,3,261.0268,179.7123,88.97369,
153833727892000,3,260.94824,179.75226,89.021576,
153833750291000,3,260.99573,179.80878,89.07866,
153833770616000,3,260.99976,179.85103,89.13887,
153833787889000,3,260.9414,179.90065,89.214645,
153833807909000,3,260.94113,179.97069,89.277824,
